C12F	发酵溶液副产品的回收；酒精的变性或变性的酒精
C12G	果汁酒；其它含酒精饮料；其制备
C12H	酒精饮料的巴氏灭菌；杀菌；保藏；纯化；澄清；陈酿或其中酒精的去除
C12J	醋；其制备
C12L	涂沥青或脱沥青装置；酒窖用具
C12M	酶学或微生物学装置
C12N	微生物或酶；其组合物；繁殖，保藏或维持微生物；变异或遗传工程；培养基
C12P	发酵或使用酶的方法合成所需要的化合物或组合物或从外消旋混合物中分离旋光异构体
C12Q	包含酶或微生物的测定或检验方法；其所用的组合物或试纸；这种组合物的制备方法；在微生物学方法或酶学方法中的条件反应控制
C12R	与涉及微生物之C12C至Q或S小类相关的引得表
C12S	使用酶或微生物以释放，分离或纯化已有化合物或组合物的方法；使用酶或微生物处理织物或清除材料的固体表面的方法
C13C	切割粉碎机；切丝刀；甜菜废丝压榨机
C13D	糖汁的生产或净化
C13F	粗糖，糖和糖浆的制备和加工
C13G	蒸发装置；煮糖罐
C13H	切糖机；糖的切割、分选和包装联合机
C13J	废糖蜜中糖的提取
C13K	葡萄糖；转化糖；乳糖；麦芽糖；用双糖或多糖水解法合成糖
C14B	小原皮、大原皮或皮革的一般机械处理或加工；毛皮剪切机械；剖割肠的机械
C14C	大原皮，小原皮或皮革的化学处理，如鞣制、浸渍、整饰；所用的设备；鞣制组合物
C21B	铁或钢的冶炼
C21C	生铁的加工处理，例如精炼，熟铁或钢的冶炼；熔融态下铁类合金的处理
C21D	改变黑色金属的物理结构；黑色或有色金属或合金热处理用的一般设备；通过脱碳、回火或其它处理使金属具有韧性
C22B	金属的生产或精炼；原材料的预处理
C22C	合金
C22F	改变有色金属或有色合金的物理结构
C22K	与改变合金的物理特征有关的，与小类C21D，C22C或F相关的引得码表
C23C	对金属材料的镀覆；用金属材料对材料的镀覆；表面扩散法，化学转化或置换法的金属材料表面处理；真空蒸发法、溅射法、离子注入法或化学气相沉积法的一般镀覆
C23D	金属的搪瓷或涂玻璃层
C23F	非机械方法去除表面上的金属材料；金属材料的缓蚀；一般防积垢；至少一种在C23大类中所列的方法及至少一种在C21D或C22F小类或者C25大类中所列的方法之多步法金属材料表面处理
C23G	电解法除外的化学法金属材料清洗及除油
C25B	生产化合物或非金属的电解工艺或电泳工艺；其所用的设备
C25C	电解法生产、回收或精炼金属的工艺；其所用的设备
C25D	覆层的电解或电泳生产工艺方法；电铸；工件的电解法接合；所用的装置
C25F	电解法除去物体上材料的方法；其所用的设备
C30B	单晶生长；共晶材料的定向凝固或共析材料的定向分层；材料的区熔精炼；具有一定结构的均匀多晶材料的制备；单晶或具有一定结构的均匀多晶材料；单晶或具有一定结构的均匀多晶材料之后处理；其所用的装置
D01B	为生产纤维或长丝而对天然纤维或长丝原料进行的机械处理，如纺纱准备
D01C	为制得可纺纱的长丝或纤维，而对天然的长丝状或纤维状原料进行的化学处理；碎呢碳化回收动物纤维
D01D	制作人造长丝、线、纤维、鬃或带子的机械方法或设备
D01F	制作人造长丝、线、纤维、鬃或带子的化学特征；专用于生产碳纤维的设备
D01G	纤维的预处理，如纺纱准备
D01H	纺纱或加捻
D02G	纤维、长丝、纱或线的卷曲；纱或线
D02H	整经、倒轴或分绞
D02J	长丝、纱、线、缆、绳等的整理
D03C	开口机构；纹板或纹链；纹板冲孔；花型设计
D03D	机织织物；织造方法；织机
D03J	织造的辅助设备；织布工工具；梭子
D04B	针织
D04C	花边，包括六角网眼花边或碳化花边的编织或制作；编织机；编织物；花边
D04D	饰带；其它类不包括的带、绦或锭带等
D04G	长丝原料打结制网；制造多结地毯或挂毯；其它类不包括的结网
D04H	使用纤维或长丝原料制造纺织品；通过此类工艺或设备制造的织物，如毛毡、无纺织物；棉絮；衬垫
D05B	缝纫
D05C	绣花；绒簇
D06B	纺织材料的液相、气相或蒸汽处理
D06C	织物的整理、上浆、拉幅或伸长
D06F	纺织品的洗涤、干燥、熨烫、压平或打折
D06G	地毯、小地毯、麻袋、兽皮或其它皮，或纺织品或纤维制品的机械或高压清洁；挠性圆筒状或其它空心物的内侧外翻
D06H	纺织材料做标记、检验、接头或切断
D06J	织物或服装的打褶，打裥或褶裥处理
D06L	漂白，如纤维、纱、线、织物、羽毛或纤维制品的萤光增白，干洗或水洗；皮革或毛皮的漂白
D06M	对纤维、纱、线、织物、羽毛或由这些材料制成的纤维制品进行D06类内其它类目所不包括的处理
D06N	墙壁、地面等的覆盖材料，如由涂着一层大分子材料的纤维网制成的油毡、油布、人造革、油毛毡；其它类不包括的柔性平幅材料
D06P	纺织品的染色或印花；皮革，毛皮或各种形状的固体大分子物质的染色
D06Q	纺织品的装饰
D07B	一般的绳或缆
D21B	纤维原料或其机械处理
D21C	从含纤维素原料中除去非纤维素物质生产纤维素；制浆药液的再生；所需设备
D21D	上纸机前蒸煮原料的处理
D21F	造纸机；用以生产纸张的方法
D21G	压光机；造纸机辅助设备
D21H	浆料或纸浆组合物；不包括在小类D21C，D中的纸浆组合物的制备；纸的浸渍或涂布；不包括在大类B31或小类D21G中的成品纸的加工；其它类不包括的纸
D21J	纤维板；由纤维素纤维悬浮液或纸料制造的物件
E01B	铁路轨道；铁路轨道附件；铺设各种铁路的机器
E01C	道路、体育场或类似工程的修建或其铺面；修建和修复用的机械和附属工具
E01D	桥梁
E01F	附属工程，如道路设备和月台、直升飞机降落台、标志、防雪栅等的修建
E01H	街道清洗；轨道清洗；海滩清洗；陆地清洗；一般驱雾法
E02B	水利工程
E02C	船舶提升设备或机械
E02D	基础；挖方；填方；地下或水下结构物
E02F	挖掘；疏浚
E03B	取水、集水或配水的装置或方法
E03C	干净水或废水的户内卫生管道装置 ；洗涤盆
E03D	冲水厕所或带有冲洗设备的小便池；其冲洗阀门
E03F	下水道，污水井
E04B	一般建筑物构造；墙，如间壁墙；屋顶；楼板；顶棚；建筑物的隔绝或其它防护
E04C	结构构件；建筑材料
E04D	屋面覆盖层；天窗；檐槽；屋面施工工具
E04F	建筑物的装修工程，如楼梯，楼面
E04G	脚手架、模壳；模板；施工用具或其它建筑辅助设备，或其应用；建筑材料的现场处理；原有建筑物的修理，拆除或其它工作
E04H	专门用途的建筑物或类似的构筑物；游泳或溅水浴槽或池；桅杆；围栏；一般帐篷或天篷
E05B	锁；其附件；手铐
E05C	用于翼扇，特别是用于门或窗的插销或固接器件
E05D	门、窗或翼扇的铰链或其它悬挂装置
E05F	使翼扇移到开启或关闭位置的器件；翼扇调节；其它类未包括而与翼扇功能有关的零件
E05G	贵重物品保险箱或保险库；银行用的保险装置；安全交易隔板
E06B	在建筑物、车辆、围栏或类似围绕物的开口处用的固定式或移动式闭合装置，如门、窗、遮帘、栅门
E06C	梯子
E21B	土层或岩石的钻进
E21C	采矿或采石
